 Matrix Size, First Index Sum 1rst, Second Index Sum 1rst
         100 ,  3.7000049E-05 ,  1.8999912E-05
         200 ,  0.0000000E+00 ,  1.5000021E-04
         300 ,  2.7199928E-04 ,  4.0100049E-04
         400 ,  6.0599856E-04 ,  7.9200044E-04
         500 ,  9.5500052E-04 ,  4.6139993E-03
         600 ,  9.8299980E-04 ,  7.9459995E-03
         700 ,  1.4040023E-03 ,  1.2731999E-02
         800 ,  1.6290098E-03 ,  1.4064997E-02
         900 ,  2.0590127E-03 ,  1.5974000E-02
        1000 ,  2.9940009E-03 ,  2.0289987E-02
        1100 ,  3.0329823E-03 ,  2.1919996E-02
        1200 ,  3.3149719E-03 ,  1.9542038E-02
        1300 ,  3.8300157E-03 ,  2.4452984E-02
        1400 ,  4.7940016E-03 ,  2.4024010E-02
        1500 ,  5.1810145E-03 ,  3.2014012E-02
        1600 ,  5.5979490E-03 ,  3.8112998E-02
        1700 ,  7.8250170E-03 ,  3.6892056E-02
        1800 ,  7.9220533E-03 ,  4.4209957E-02
        1900 ,  1.1404037E-02 ,  5.7714939E-02
        2000 ,  1.0624886E-02 ,  5.2209854E-02
        2100 ,  1.1554956E-02 ,  5.8944941E-02
        2200 ,  1.2969971E-02 ,  6.3894987E-02
        2300 ,  1.3782024E-02 ,  6.6868067E-02
        2400 ,  1.5081882E-02 ,  7.6234102E-02
        2500 ,  1.6150951E-02 ,  8.7728977E-02
        2600 ,  1.7451763E-02 ,  8.6597919E-02
        2700 ,  1.9422054E-02 ,  0.1047239    
        2800 ,  2.1485806E-02 ,  9.7929001E-02
        2900 ,  2.2298336E-02 ,  0.1139131    
        3000 ,  2.5468826E-02 ,  0.1100583    
        3100 ,  2.6102066E-02 ,  0.1299171    
        3200 ,  2.7624130E-02 ,  0.1187115    
        3300 ,  3.0044556E-02 ,  0.1440458    
        3400 ,  3.2266617E-02 ,  0.1453524    
        3500 ,  3.5109520E-02 ,  0.1769390    
        3600 ,  3.7838936E-02 ,  0.1522541    
        3700 ,  3.9668083E-02 ,  0.1920643    
        3800 ,  4.2087555E-02 ,  0.1834373    
        3900 ,  4.6077728E-02 ,  0.2242336    
        4000 ,  4.8585892E-02 ,  0.1916351    
        4100 ,  5.1408768E-02 ,  0.2395325    
        4200 ,  5.5183411E-02 ,  0.2310181    
        4300 ,  5.7680130E-02 ,  0.2761726    
        4400 ,  6.0560226E-02 ,  0.2347355    
        4500 ,  6.3924789E-02 ,  0.3048286    
        4600 ,  6.6696167E-02 ,  0.2807713    
        4700 ,  6.9980621E-02 ,  0.3278961    
        4800 ,  7.2414398E-02 ,  0.2777596    
        4900 ,  7.5786591E-02 ,  0.3426094    
        5000 ,  7.9589844E-02 ,  0.3333473    
        5100 ,  8.2118988E-02 ,  0.3881416    
        5200 ,  8.5956573E-02 ,  0.3303413    
        5300 ,  8.6330414E-02 ,  0.4182701    
        5400 ,  9.2777252E-02 ,  0.3869324    
        5500 ,  7.5607300E-02 ,  0.3906822    
        5600 ,  0.1062126     ,  0.4576454    
        5700 ,   1.349480     ,  0.0000000E+00
        5800 ,  0.1034317     ,  0.5566940    
        5900 ,  0.3317871     ,  0.6375275    
        6000 ,   1.424637     ,  0.4867706    
        6100 ,   1.381454     ,  0.8409042    
        6200 ,  0.9665527     ,  0.9237747    
        6300 ,  0.6884537     ,  0.9801712    
        6400 ,  0.7152557     ,  0.9139328    
        6500 ,  0.5799255     ,   1.110741    
        6600 ,   1.298073     ,  0.8583221    
        6700 ,  0.6395721     ,   1.240631    
        6800 ,   1.878876     ,   1.078148    
        6900 ,   1.367447     ,   1.001572    
        7000 ,   1.765396     ,   1.178680    
        7100 ,  0.4433441     ,   1.491379    
        7200 ,   1.579422     ,   1.515808    
        7300 ,  0.6783752     ,   1.671951    
        7400 ,  0.3927765     ,   1.579208    
        7500 ,  0.3629913     ,   1.650330    
        7600 ,   1.632690     ,   1.727982    
        7700 ,  0.7939148     ,   1.844955    
        7800 ,   2.030121     ,   1.533432    
        7900 ,  0.4773865     ,   1.970413    
        8000 ,   1.517395     ,   1.368546    
        8100 ,   1.399994     ,   2.142883    
        8200 ,   3.436356     ,   1.732895    
        8300 ,   1.213074     ,   2.517944    
        8400 ,  0.5757446     ,   2.622314    
        8500 ,   1.628906     ,   2.258759    
        8600 ,   1.837677     ,   2.497467    
        8700 ,   2.630646     ,   2.611572    
        8800 ,   1.827179     ,   2.880737    
        8900 ,   6.979523     ,   2.057404    
        9000 ,   2.014587     ,   2.607422    
        9100 ,  0.7102661     ,   2.954254    
        9200 ,  0.9463806     ,   2.883057    
        9300 ,   1.964020     ,   2.763611    
        9400 ,   1.707520     ,   3.049774    
        9500 ,  0.8199158     ,   3.067566    
        9600 ,   1.889496     ,   3.828918    
        9700 ,  0.7288513     ,   2.989075    
        9800 ,  0.6804199     ,   3.334808    
        9900 ,   1.538483     ,   3.311157    
       10000 ,  0.5326538     ,   3.071472    
