 Matrix Size, First Index Sum 1rst, Second Index Sum 1rst
         100 ,   1.12000154E-04 ,   9.79998149E-05
         200 ,   0.00000000     ,   0.00000000    
         300 ,   0.00000000     ,   8.51000659E-04
         400 ,   1.89500023E-03 ,   1.96399912E-03
         500 ,   2.70700082E-03 ,   4.08099964E-03
         600 ,   4.01499867E-03 ,   6.82100281E-03
         700 ,   5.62000275E-03 ,   1.07610002E-02
         800 ,   7.29599595E-03 ,   1.63709968E-02
         900 ,   9.01900232E-03 ,   1.87079906E-02
        1000 ,   1.13020092E-02 ,   3.19789946E-02
        1100 ,   1.32899880E-02 ,   3.49030197E-02
        1200 ,   1.57339871E-02 ,   3.83630097E-02
        1300 ,   1.83569789E-02 ,   4.70249951E-02
        1400 ,   2.10309625E-02 ,   5.20179868E-02
        1500 ,   2.63259411E-02 ,   6.65940046E-02
        1600 ,   3.00450325E-02 ,   7.29680061E-02
        1700 ,   4.25840616E-02 ,   9.01839733E-02
        1800 ,   3.64041328E-02 ,  0.106092095    
        1900 ,   4.28500175E-02 ,  0.126171827    
        2000 ,   4.59640026E-02 ,  0.137359142    
        2100 ,   5.10859489E-02 ,  0.163978100    
        2200 ,   5.83829880E-02 ,  0.175897121    
        2300 ,   6.08079433E-02 ,  0.190937996    
        2400 ,   6.89489841E-02 ,  0.201881886    
        2500 ,   8.45589638E-02 ,  0.230336189    
        2600 ,   7.99207687E-02 ,  0.257529736    
        2700 ,   8.55116844E-02 ,  0.272963524    
        2800 ,  0.109037876     ,  0.298641205    
        2900 ,   9.69538689E-02 ,  0.305015564    
        3000 ,  0.114717484     ,  0.327088356    
        3100 ,  0.118672371     ,  0.343484879    
        3200 ,  0.118646622     ,  0.344285011    
        3300 ,  0.580362320     ,  0.402172089    
        3400 ,  0.133783340     ,  0.422983170    
        3500 ,  0.584978104     ,  0.457283020    
        3600 ,  0.154211044     ,  0.482074738    
        3700 ,  0.158008575     ,  0.511510849    
        3800 ,  0.166364670     ,  0.553064346    
        3900 ,  0.619361877     ,  0.576658249    
        4000 ,  0.656904221     ,  0.611755371    
        4100 ,  0.193256378     ,  0.621015549    
        4200 ,  0.203161240     ,  0.693519592    
        4300 ,  0.213068008     ,  0.697170258    
        4400 ,  0.223012924     ,  0.766536713    
        4500 ,   1.62154770     ,  0.495918274    
        4600 ,   1.75151825     ,  0.775791168    
        4700 ,  0.736236572     ,  0.830955505    
        4800 ,  0.662193298     ,  0.821949005    
        4900 ,  0.786987305     ,  0.906368256    
        5000 ,  0.306396484     ,  0.969676971    
        5100 ,  0.314487457     ,   1.02515793    
        5200 ,  0.533737183     ,   1.16251373    
        5300 ,  0.550956726     ,   1.15283203    
        5400 ,   1.04309082     ,   1.22712708    
        5500 ,   1.18380737     ,   1.23175049    
        5600 ,  0.737373352     ,   1.44147491    
        5700 ,   1.45753479     ,   1.30043030    
        5800 ,   3.30364227     ,   1.33026123    
        5900 ,  0.832527161     ,   1.45094299    
        6000 ,  0.810241699     ,   1.48461914    
        6100 ,  0.893821716     ,   1.52912140    
        6200 ,   1.03129578     ,   1.64205933    
        6300 ,   2.74864197     ,   1.82501984    
        6400 ,  0.717895508     ,   1.63301086    
        6500 ,  0.911209106     ,   1.70368195    
        6600 ,  0.512252808     ,   1.84852600    
        6700 ,  0.925895691     ,   1.91358185    
        6800 ,  0.772521973     ,   1.99186707    
        6900 ,  0.998870850     ,   1.96662903    
        7000 ,  0.850830078     ,   2.15580750    
        7100 ,   1.08113098     ,   2.10382080    
        7200 ,  0.761215210     ,   2.01713562    
        7300 ,   4.28916931     ,   2.03016663    
        7400 ,  0.647964478     ,   2.11997986    
        7500 ,   1.00694275     ,   2.06396484    
        7600 ,  0.808837891     ,   2.15823364    
        7700 ,  0.695541382     ,   2.13404846    
        7800 ,   1.50816345     ,   2.22671509    
        7900 ,   1.03875732     ,   2.26962280    
        8000 ,   1.70033264     ,   2.41696167    
        8100 ,   2.00765991     ,   2.42790222    
        8200 ,   3.91218567     ,   2.03016663    
        8300 ,  0.778381348     ,   2.60969543    
        8400 ,  0.781234741     ,   2.65939331    
        8500 ,  0.804061890     ,   2.71057129    
        8600 ,   1.25598145     ,   2.77890015    
        8700 ,   1.10198975     ,   2.78756714    
        8800 ,   2.35339355     ,   2.90972900    
        8900 ,   1.77383423     ,   2.98739624    
        9000 ,   1.21646118     ,   3.12756348    
        9100 ,  0.963989258     ,   3.17752075    
        9200 ,   2.49227905     ,   3.30023193    
        9300 ,   1.37738037     ,   3.42468262    
        9400 ,   1.49066162     ,   3.50192261    
        9500 ,   2.05679321     ,   3.64950562    
        9600 ,   2.27542114     ,   3.65188599    
        9700 ,   2.85104370     ,   3.64123535    
        9800 ,   3.91857910     ,   3.82620239    
        9900 ,   4.70959473     ,   3.85702515    
       10000 ,   2.22470093     ,   4.02346802    
