 Matrix Size, First Index Sum 1rst, Second Index Sum 1rst
         100 ,   1.12000154E-04 ,   9.80000477E-05
         200 ,   0.00000000     ,   0.00000000    
         300 ,   0.00000000     ,   2.16099992E-03
         400 ,   0.00000000     ,   3.88699956E-03
         500 ,   1.86499953E-03 ,   4.07999940E-03
         600 ,   4.15800139E-03 ,   6.80399686E-03
         700 ,   5.67699969E-03 ,   1.07040033E-02
         800 ,   7.19599426E-03 ,   1.46759972E-02
         900 ,   8.88200104E-03 ,   1.46940053E-02
        1000 ,   1.02759898E-02 ,   2.21490115E-02
        1100 ,   1.30040050E-02 ,   2.49789953E-02
        1200 ,   1.47840083E-02 ,   3.10540199E-02
        1300 ,   1.72190070E-02 ,   3.30280066E-02
        1400 ,   2.02420354E-02 ,   3.86419892E-02
        1500 ,   2.34100223E-02 ,   4.66729999E-02
        1600 ,   2.56379843E-02 ,   6.54769540E-02
        1700 ,   2.93800235E-02 ,   6.25140667E-02
        1800 ,   3.32189798E-02 ,   8.58440399E-02
        1900 ,   3.75109911E-02 ,   9.24749374E-02
        2000 ,   4.22890186E-02 ,   9.16419029E-02
        2100 ,   4.73580360E-02 ,  0.129535079    
        2200 ,   5.17439842E-02 ,  0.152842045    
        2300 ,   5.61718941E-02 ,  0.165482998    
        2400 ,   6.21118546E-02 ,  0.188870907    
        2500 ,   6.71870708E-02 ,  0.200233221    
        2600 ,   7.26368427E-02 ,  0.219954967    
        2700 ,   7.82418251E-02 ,  0.234080315    
        2800 ,   8.43038559E-02 ,  0.254988670    
        2900 ,   9.02013779E-02 ,  0.273205757    
        3000 ,   9.62066650E-02 ,  0.288711071    
        3100 ,  0.103204250     ,  0.312830925    
        3200 ,  0.109417915     ,  0.316980362    
        3300 ,  0.116273880     ,  0.351166725    
        3400 ,  0.123598099     ,  0.374175072    
        3500 ,  0.131227493     ,  0.400977135    
        3600 ,  0.138773918     ,  0.421303749    
        3700 ,  0.145464897     ,  0.446019173    
        3800 ,  0.153918266     ,  0.476804733    
        3900 ,  0.162273407     ,  0.496497154    
        4000 ,  0.170763969     ,  0.508653641    
        4100 ,  0.179906845     ,  0.548097610    
        4200 ,  0.188753128     ,  0.641862869    
        4300 ,  0.210731506     ,  0.689094543    
        4400 ,  0.212120056     ,  0.651636124    
        4500 ,  0.215917587     ,  0.643371582    
        4600 ,  0.226312637     ,  0.670314789    
        4700 ,  0.236602783     ,  0.724159241    
        4800 ,  0.247243881     ,  0.840145111    
        4900 ,  0.255962372     ,  0.822570801    
        5000 ,  0.272159576     ,  0.826339722    
        5100 ,  0.286277771     ,  0.983612061    
        5200 ,  0.298084259     ,   1.03544235    
        5300 ,  0.309181213     ,   1.05994415    
        5400 ,  0.321800232     ,   1.11071014    
        5500 ,  0.333492279     ,   1.12870026    
        5600 ,  0.345619202     ,   1.20067978    
        5700 ,  0.359130859     ,   1.21525955    
        5800 ,  0.372344971     ,   1.25926208    
        5900 ,  0.383670807     ,   1.30744171    
        6000 ,  0.397430420     ,   1.34424591    
        6100 ,  0.410133362     ,   1.40363312    
        6200 ,  0.424659729     ,   1.43134308    
        6300 ,  0.438270569     ,   1.47639465    
        6400 ,  0.451141357     ,   1.48397827    
        6500 ,  0.464218140     ,   1.56573486    
        6600 ,  0.477828979     ,   1.60164642    
        6700 ,  0.494026184     ,   1.69374084    
        6800 ,  0.512695312     ,   1.73701477    
        6900 ,  0.524208069     ,   1.79676819    
        7000 ,  0.541793823     ,   1.85387421    
        7100 ,  0.560073853     ,   1.89900970    
        7200 ,  0.559257507     ,   1.77330017    
        7300 ,  0.567695618     ,   1.80184174    
        7400 ,  0.583160400     ,   1.85661316    
        7500 ,  0.599761963     ,   1.87785339    
        7600 ,  0.619918823     ,   1.92481995    
        7700 ,  0.656463623     ,   2.28433228    
        7800 ,  0.678939819     ,   2.29246521    
        7900 ,  0.694427490     ,   2.38095093    
        8000 ,  0.680038452     ,   2.18057251    
        8100 ,  0.699508667     ,   2.19445801    
        8200 ,  0.722579956     ,   2.32043457    
        8300 ,  0.733184814     ,   2.32493591    
        8400 ,  0.770751953     ,   2.66931152    
        8500 ,  0.781082153     ,   2.62358093    
        8600 ,  0.808349609     ,   2.78985596    
        8700 ,  0.826675415     ,   2.77427673    
        8800 ,  0.848968506     ,   2.94036865    
        8900 ,  0.866363525     ,   2.97839355    
        9000 ,  0.886505127     ,   3.08769226    
        9100 ,  0.907714844     ,   3.15600586    
        9200 ,  0.926254272     ,   3.22256470    
        9300 ,  0.942138672     ,   2.95376587    
        9400 ,  0.974609375     ,   3.27679443    
        9500 ,  0.992340088     ,   3.31375122    
        9600 ,   1.00842285     ,   3.31967163    
        9700 ,   5.47650146     ,   3.49111938    
        9800 ,   1.70739746     ,   3.92108154    
        9900 ,   1.49307251     ,   4.11138916    
       10000 ,   1.34783936     ,   3.94631958    
