 Matrix Size, First Index Sum 1rst, Second Index Sum 1rst
         100 ,  0.0000000E+00 ,  0.0000000E+00
         200 ,  0.0000000E+00 ,  0.0000000E+00
         300 ,  0.0000000E+00 ,  7.9500023E-04
         400 ,  0.0000000E+00 ,  1.2589991E-03
         500 ,  3.3700094E-04 ,  4.6119988E-03
         600 ,  1.0839999E-03 ,  8.0329999E-03
         700 ,  1.4830008E-03 ,  1.2770995E-02
         800 ,  1.7910004E-03 ,  1.9237012E-02
         900 ,  2.3010075E-03 ,  2.1949008E-02
        1000 ,  2.3529828E-03 ,  2.3543000E-02
        1100 ,  3.0519962E-03 ,  2.1055013E-02
        1200 ,  2.5770068E-03 ,  2.5296986E-02
        1300 ,  4.3439865E-03 ,  3.0992031E-02
        1400 ,  4.2949915E-03 ,  2.9618025E-02
        1500 ,  7.5110197E-03 ,  3.8039982E-02
        1600 ,  7.2489977E-03 ,  4.1732907E-02
        1700 ,  8.7990761E-03 ,  5.1223993E-02
        1800 ,  9.8789930E-03 ,  5.1769018E-02
        1900 ,  1.0102987E-02 ,  5.8981895E-02
        2000 ,  1.2734890E-02 ,  5.4003000E-02
        2100 ,  1.3453007E-02 ,  7.1954012E-02
        2200 ,  1.5779972E-02 ,  7.8232050E-02
        2300 ,  1.7603159E-02 ,  8.6938858E-02
        2400 ,  1.9900799E-02 ,  7.9898834E-02
        2500 ,  2.0456314E-02 ,  0.1048269    
        2600 ,  2.2251129E-02 ,  0.1003041    
        2700 ,  2.3333073E-02 ,  0.1176090    
        2800 ,  2.5960922E-02 ,  0.1121039    
        2900 ,  2.7318954E-02 ,  0.1345100    
        3000 ,  2.9658318E-02 ,  0.1330376    
        3100 ,  3.0741692E-02 ,  0.1376333    
        3200 ,  3.3280373E-02 ,  0.1345110    
        3300 ,  3.5001755E-02 ,  0.1545248    
        3400 ,  2.9263496E-02 ,  0.1453934    
        3500 ,  3.0643463E-02 ,  0.1578426    
        3600 ,  3.3263206E-02 ,  0.1478987    
        3700 ,  3.5194397E-02 ,  0.1895332    
        3800 ,  3.7067413E-02 ,  0.1793404    
        3900 ,  3.8393021E-02 ,  0.1969757    
        4000 ,  4.0214539E-02 ,  0.1823521    
        4100 ,  4.2226791E-02 ,  0.2134380    
        4200 ,  4.4075012E-02 ,  0.2096920    
        4300 ,  4.6201706E-02 ,  0.2454681    
        4400 ,  4.8765182E-02 ,  0.2237320    
        4500 ,  5.0977707E-02 ,  0.2768936    
        4600 ,  5.3138733E-02 ,  0.2539158    
        4700 ,  5.5110931E-02 ,  0.2945328    
        4800 ,  5.7765961E-02 ,  0.2600746    
        4900 ,  6.0024261E-02 ,  0.2978325    
        5000 ,  6.2427521E-02 ,  0.2997475    
        5100 ,  6.5292358E-02 ,  0.3383484    
        5200 ,  6.7531586E-02 ,  0.3076515    
        5300 ,  7.0827484E-02 ,  0.3658829    
        5400 ,  7.2860718E-02 ,  0.3498650    
        5500 ,  7.5248718E-02 ,  0.3922539    
        5600 ,  7.8296661E-02 ,  0.3571434    
        5700 ,  8.0638885E-02 ,  0.4215126    
        5800 ,  8.4526062E-02 ,  0.4029160    
        5900 ,  0.1331482     ,  0.5523376    
        6000 ,  0.1263733     ,  0.5284653    
        6100 ,  0.1499863     ,  0.6855621    
        6200 ,  0.1361923     ,  0.7169418    
        6300 ,   2.272575     ,  0.6331100    
        6400 ,   1.283577     ,  0.8605881    
        6500 ,  0.3891678     ,  0.9937210    
        6600 ,   1.160133     ,  0.9787216    
        6700 ,   1.895775     ,   1.046013    
        6800 ,  0.9767380     ,   1.093262    
        6900 ,  0.7769318     ,   1.160797    
        7000 ,  0.4677124     ,   1.222076    
        7100 ,  0.9886627     ,   1.233490    
        7200 ,  0.2239838     ,   1.333160    
        7300 ,  0.5625763     ,   1.379990    
        7400 ,  0.5973663     ,   1.287781    
        7500 ,   1.235214     ,   1.301437    
        7600 ,   1.259918     ,   1.385284    
        7700 ,  0.5559082     ,   1.501114    
        7800 ,   1.016464     ,   1.727463    
        7900 ,  0.5618591     ,   1.651489    
        8000 ,  0.7056427     ,   1.403107    
        8100 ,   1.951263     ,   1.366531    
        8200 ,  0.4353333     ,   1.554733    
        8300 ,  0.4510651     ,   1.808502    
        8400 ,   1.124557     ,   1.809525    
        8500 ,  0.5660400     ,   1.837280    
        8600 ,   1.112000     ,   1.550476    
        8700 ,   4.343872     ,   1.491699    
        8800 ,  0.9993286     ,   2.005463    
        8900 ,  0.5610962     ,   1.835205    
        9000 ,   2.417053     ,   1.914673    
        9100 ,  0.5231628     ,   2.011963    
        9200 ,  0.7438965     ,   1.999908    
        9300 ,  0.8844604     ,   1.924896    
        9400 ,  0.6536560     ,   2.311646    
        9500 ,   3.511383     ,   2.024170    
        9600 ,   1.929565     ,   2.688812    
        9700 ,  0.8411255     ,   2.252014    
        9800 ,   3.920776     ,   2.832733    
        9900 ,  0.9677124     ,   2.950562    
       10000 ,   1.841888     ,   2.344391    
