 Matrix Size, First Index Sum 1rst, Second Index Sum 1rst
         100 ,  3.9999839E-05 ,  2.2000168E-05
         200 ,  1.3699988E-04 ,  1.2600003E-04
         300 ,  8.1599969E-04 ,  0.0000000E+00
         400 ,  4.8799999E-04 ,  8.0599822E-04
         500 ,  9.8200142E-04 ,  4.5620017E-03
         600 ,  1.0049939E-03 ,  8.0210045E-03
         700 ,  1.5050024E-03 ,  1.2763999E-02
         800 ,  1.8460006E-03 ,  1.9198999E-02
         900 ,  2.9840022E-03 ,  2.1661997E-02
        1000 ,  2.9689968E-03 ,  2.2958010E-02
        1100 ,  2.8690100E-03 ,  2.1088004E-02
        1200 ,  3.4170151E-03 ,  2.5471032E-02
        1300 ,  4.7159791E-03 ,  3.1299055E-02
        1400 ,  5.3020120E-03 ,  3.0355990E-02
        1500 ,  5.6240559E-03 ,  3.3192992E-02
        1600 ,  7.1760416E-03 ,  4.1806936E-02
        1700 ,  8.1540346E-03 ,  5.1739931E-02
        1800 ,  9.1050863E-03 ,  5.1241994E-02
        1900 ,  1.0052919E-02 ,  5.5829048E-02
        2000 ,  1.0658026E-02 ,  5.2513123E-02
        2100 ,  1.1742115E-02 ,  6.6898823E-02
        2200 ,  1.4053822E-02 ,  7.4712038E-02
        2300 ,  1.4010906E-02 ,  7.9600096E-02
        2400 ,  1.5416145E-02 ,  7.6909065E-02
        2500 ,  1.7107964E-02 ,  9.5896244E-02
        2600 ,  1.8088818E-02 ,  9.3819141E-02
        2700 ,  1.9412994E-02 ,  0.1064200    
        2800 ,  2.1942139E-02 ,  0.1068239    
        2900 ,  2.2036076E-02 ,  0.1214900    
        3000 ,  2.3631096E-02 ,  0.1225061    
        3100 ,  2.4505615E-02 ,  0.1228981    
        3200 ,  2.6512146E-02 ,  0.1273222    
        3300 ,  2.8757095E-02 ,  0.1406860    
        3400 ,  2.9943466E-02 ,  0.1482601    
        3500 ,  3.1355858E-02 ,  0.1600037    
        3600 ,  3.2886505E-02 ,  0.1489420    
        3700 ,  3.5365105E-02 ,  0.1896925    
        3800 ,  3.7031174E-02 ,  0.1791000    
        3900 ,  3.8579941E-02 ,  0.1969337    
        4000 ,  4.0451050E-02 ,  0.1828747    
        4100 ,  4.2684555E-02 ,  0.2146797    
        4200 ,  4.4521332E-02 ,  0.2111492    
        4300 ,  4.6546936E-02 ,  0.2477341    
        4400 ,  4.9314499E-02 ,  0.2251339    
        4500 ,  5.1435471E-02 ,  0.2787895    
        4600 ,  5.2886963E-02 ,  0.2538700    
        4700 ,  5.6045532E-02 ,  0.2969551    
        4800 ,  5.9234619E-02 ,  0.2623215    
        4900 ,  6.0112000E-02 ,  0.2988892    
        5000 ,  6.2595367E-02 ,  0.3042450    
        5100 ,  6.5128326E-02 ,  0.3409653    
        5200 ,  6.7527771E-02 ,  0.3079033    
        5300 ,  7.0617676E-02 ,  0.3643150    
        5400 ,  7.2719574E-02 ,  0.3538513    
        5500 ,  7.5157166E-02 ,  0.3908386    
        5600 ,  7.7682495E-02 ,  0.3567200    
        5700 ,  8.0223083E-02 ,  0.4204636    
        5800 ,  8.4136963E-02 ,  0.4022675    
        5900 ,  8.6418152E-02 ,  0.4486237    
        6000 ,  8.8714600E-02 ,  0.4128342    
        6100 ,  9.2453003E-02 ,  0.4807053    
        6200 ,  9.4757080E-02 ,  0.4505844    
        6300 ,  9.7595215E-02 ,  0.5110474    
        6400 ,  0.1014404     ,  0.4764023    
        6500 ,  0.1041794     ,  0.5481339    
        6600 ,  0.1070099     ,  0.4979019    
        6700 ,  0.1112747     ,  0.5880661    
        6800 ,  0.1137772     ,  0.5265121    
        6900 ,  0.1176224     ,  0.6205368    
        7000 ,  0.1208878     ,  0.5831223    
        7100 ,  0.1243439     ,  0.6489792    
        7200 ,  0.1264954     ,  0.5870667    
        7300 ,  0.1302795     ,  0.6956940    
        7400 ,  0.1349792     ,  0.6540070    
        7500 ,  0.1389465     ,  0.7298584    
        7600 ,  0.1417084     ,  0.6543121    
        7700 ,  0.1458282     ,  0.7829895    
        7800 ,  0.1487427     ,  0.7215118    
        7900 ,  0.1524963     ,  0.8143158    
        8000 ,  0.1573334     ,  0.7253113    
        8100 ,  0.1607513     ,  0.8563385    
        8200 ,  0.1642914     ,  0.7956543    
        8300 ,  0.1682892     ,  0.8958130    
        8400 ,  0.1728821     ,  0.8075409    
        8500 ,  0.1757660     ,  0.9448547    
        8600 ,  0.1808472     ,  0.8791199    
        8700 ,  0.1849976     ,  0.9952240    
        8800 ,  0.1883240     ,  0.8824615    
        8900 ,  0.1944733     ,   1.041168    
        9000 ,  0.1987915     ,  0.9731445    
        9100 ,  0.2046509     ,   1.078857    
        9200 ,  0.2088623     ,  0.9696045    
        9300 ,  0.2157288     ,   1.067902    
        9400 ,  0.2204590     ,   1.065125    
        9500 ,  0.2260132     ,   1.208649    
        9600 ,  0.2317200     ,   1.055847    
        9700 ,  0.2377625     ,   1.287262    
        9800 ,  0.2439880     ,   1.184814    
        9900 ,  0.2488708     ,   1.306702    
       10000 ,  0.2539062     ,   1.161621    
