 Matrix Size, First Index Sum 1rst, Second Index Sum 1rst
         100 ,  3.5000034E-05 ,  2.0999927E-05
         200 ,  1.3499986E-04 ,  1.2699980E-04
         300 ,  2.7900003E-04 ,  5.7500042E-04
         400 ,  8.6900033E-04 ,  4.2000040E-04
         500 ,  9.5500052E-04 ,  4.6410002E-03
         600 ,  1.1849999E-03 ,  8.0119967E-03
         700 ,  1.4640018E-03 ,  1.2739003E-02
         800 ,  1.4249980E-03 ,  1.2787998E-02
         900 ,  1.8469989E-03 ,  1.5045002E-02
        1000 ,  3.0069947E-03 ,  2.0466983E-02
        1100 ,  3.0390024E-03 ,  2.2118002E-02
        1200 ,  2.9129982E-03 ,  2.5602996E-02
        1300 ,  3.1129718E-03 ,  2.4339974E-02
        1400 ,  3.5720468E-03 ,  3.0152023E-02
        1500 ,  5.9649944E-03 ,  3.3057988E-02
        1600 ,  6.7039728E-03 ,  3.8444042E-02
        1700 ,  5.7250261E-03 ,  3.4510970E-02
        1800 ,  7.3469877E-03 ,  4.1792989E-02
        1900 ,  9.5829964E-03 ,  5.2408934E-02
        2000 ,  1.0227919E-02 ,  5.0396919E-02
        2100 ,  1.1144161E-02 ,  6.9177866E-02
        2200 ,  1.2916088E-02 ,  6.4290047E-02
        2300 ,  1.4060974E-02 ,  7.7919960E-02
        2400 ,  1.5064001E-02 ,  7.5981855E-02
        2500 ,  1.6387939E-02 ,  8.7095737E-02
        2600 ,  1.7678738E-02 ,  8.4208012E-02
        2700 ,  1.8886089E-02 ,  9.8935604E-02
        2800 ,  2.0171165E-02 ,  9.4573975E-02
        2900 ,  2.1669865E-02 ,  0.1178441    
        3000 ,  2.2880077E-02 ,  0.1054230    
        3100 ,  2.4581909E-02 ,  0.1231127    
        3200 ,  2.5909424E-02 ,  0.1159906    
        3300 ,  2.8200150E-02 ,  0.1391973    
        3400 ,  2.9508591E-02 ,  0.1420822    
        3500 ,  3.0957222E-02 ,  0.1651983    
        3600 ,  3.2865524E-02 ,  0.1500359    
        3700 ,  3.4708023E-02 ,  0.1864128    
        3800 ,  3.6525726E-02 ,  0.1697187    
        3900 ,  3.8698196E-02 ,  0.1961536    
        4000 ,  4.0800095E-02 ,  0.1786938    
        4100 ,  4.2539597E-02 ,  0.2131863    
        4200 ,  4.4588089E-02 ,  0.2071533    
        4300 ,  4.6100616E-02 ,  0.2388248    
        4400 ,  4.8355103E-02 ,  0.2181492    
        4500 ,  5.1872253E-02 ,  0.2594166    
        4600 ,  5.3245544E-02 ,  0.2605228    
        4700 ,  5.6121826E-02 ,  0.2932377    
        4800 ,  5.7994843E-02 ,  0.2588234    
        4900 ,  6.0054779E-02 ,  0.2978554    
        5000 ,  6.2793732E-02 ,  0.2968369    
        5100 ,  6.4716339E-02 ,  0.3333321    
        5200 ,  6.7493439E-02 ,  0.3067093    
        5300 ,  7.2093964E-02 ,  0.3567314    
        5400 ,  7.2715759E-02 ,  0.3473015    
        5500 ,  7.5855255E-02 ,  0.3842201    
        5600 ,  7.8796387E-02 ,  0.3560181    
        5700 ,  8.0032349E-02 ,  0.4197884    
        5800 ,  8.3148956E-02 ,  0.3991776    
        5900 ,  8.6204529E-02 ,  0.4488297    
        6000 ,  8.9302063E-02 ,  0.4101562    
        6100 ,  0.1086502     ,  0.5973969    
        6200 ,  0.2084503     ,  0.6734467    
        6300 ,  0.2699661     ,   1.143532    
        6400 ,  0.3232117     ,  0.7662888    
        6500 ,  0.1056213     ,  0.5564728    
        6600 ,  0.1075897     ,  0.4999390    
        6700 ,  0.1110229     ,  0.5887833    
        6800 ,  0.1140594     ,  0.5273514    
        6900 ,  0.1180954     ,  0.6218262    
        7000 ,  0.1214676     ,  0.5852280    
        7100 ,  0.1464233     ,  0.7980347    
        7200 ,  0.1741791     ,  0.6413422    
        7300 ,  0.3942108     ,   1.355560    
        7400 ,  0.4679718     ,   1.224075    
        7500 ,  0.1381989     ,  0.7303467    
        7600 ,  0.1421814     ,  0.6531982    
        7700 ,  0.1465149     ,  0.7829437    
        7800 ,  0.1497040     ,  0.7198029    
        7900 ,  0.1549072     ,  0.8234863    
        8000 ,  0.1605835     ,  0.7360077    
        8100 ,  0.1643372     ,  0.8467712    
        8200 ,  0.1644897     ,  0.7815399    
        8300 ,  0.1692657     ,  0.8954315    
        8400 ,  0.1740265     ,  0.8074646    
        8500 ,  0.2062683     ,   1.001328    
        8600 ,  0.1811981     ,  0.8791046    
        8700 ,  0.2162933     ,   1.061401    
        8800 ,  0.1914062     ,  0.8883362    
        8900 ,  0.1948242     ,   1.048096    
        9000 ,  0.1997986     ,  0.9772339    
        9100 ,  0.2039185     ,   1.079041    
        9200 ,  0.2075195     ,  0.9732971    
        9300 ,  0.2130432     ,   1.052704    
        9400 ,  0.2161255     ,   1.055237    
        9500 ,  0.2217712     ,   1.181946    
        9600 ,  0.2268066     ,   1.061340    
        9700 ,  0.2318420     ,   1.252045    
        9800 ,  0.2373657     ,   1.170349    
        9900 ,  0.2420654     ,   1.253418    
       10000 ,  0.2451477     ,   1.147736    
