 Matrix Size, First Index Sum 1rst, Second Index Sum 1rst
         100 ,   1.27000036E-04 ,   9.80000477E-05
         200 ,   4.59999777E-04 ,   8.29999801E-04
         300 ,   1.04999961E-03 ,   1.01500005E-03
         400 ,   1.90799963E-03 ,   2.03400012E-03
         500 ,   2.93000042E-03 ,   4.03899886E-03
         600 ,   4.20600176E-03 ,   6.80200011E-03
         700 ,   5.74199855E-03 ,   1.07640028E-02
         800 ,   7.47600198E-03 ,   1.63820013E-02
         900 ,   9.41900909E-03 ,   1.92969888E-02
        1000 ,   1.10509992E-02 ,   2.19050050E-02
        1100 ,   1.27710104E-02 ,   2.44889855E-02
        1200 ,   1.52280033E-02 ,   3.18250060E-02
        1300 ,   1.77629888E-02 ,   3.88329923E-02
        1400 ,   2.04690099E-02 ,   4.02330160E-02
        1500 ,   2.46789455E-02 ,   5.38030267E-02
        1600 ,   2.73649693E-02 ,   7.81289935E-02
        1700 ,   3.16170454E-02 ,   8.23129416E-02
        1800 ,   3.51010561E-02 ,   9.85909700E-02
        1900 ,   3.91309261E-02 ,  0.115048051    
        2000 ,   4.44409847E-02 ,  0.114500046    
        2100 ,   5.01459837E-02 ,  0.146597147    
        2200 ,   5.59771061E-02 ,  0.184441090    
        2300 ,   6.13658428E-02 ,  0.193395853    
        2400 ,   6.53059483E-02 ,  0.216238976    
        2500 ,   7.07948208E-02 ,  0.235738039    
        2600 ,   7.72070885E-02 ,  0.247408867    
        2700 ,   8.35738182E-02 ,  0.266438961    
        2800 ,   8.91141891E-02 ,  0.292080879    
        2900 ,   9.55018997E-02 ,  0.308248997    
        3000 ,  0.102448463     ,  0.333520889    
        3100 ,  0.106873989     ,  0.356478691    
        3200 ,  0.109876633     ,  0.322757721    
        3300 ,  0.120855331     ,  0.404631615    
        3400 ,  0.128705025     ,  0.426623344    
        3500 ,  0.140081406     ,  0.458831787    
        3600 ,  0.145500183     ,  0.484313011    
        3700 ,  0.155025482     ,  0.510770798    
        3800 ,  0.161663055     ,  0.540520668    
        3900 ,  0.172363281     ,  0.539072037    
        4000 ,  0.172416687     ,  0.539545059    
        4100 ,  0.186677933     ,  0.593767166    
        4200 ,  0.194532394     ,  0.605880737    
        4300 ,  0.199026108     ,  0.627733231    
        4400 ,  0.209638596     ,  0.662513733    
        4500 ,  0.220355988     ,  0.699256897    
        4600 ,  0.227825165     ,  0.709423065    
        4700 ,  0.245956421     ,  0.759971619    
        4800 ,  0.249679565     ,  0.780181885    
        4900 ,  0.263702393     ,  0.814556122    
        5000 ,  0.267070770     ,  0.835765839    
        5100 ,  0.278808594     ,  0.864582062    
        5200 ,  0.290370941     ,  0.923110962    
        5300 ,  0.301197052     ,  0.934116364    
        5400 ,  0.312683105     ,  0.989192963    
        5500 ,  0.331348419     ,   1.00822830    
        5600 ,  0.340358734     ,   1.07783508    
        5700 ,  0.360073090     ,   1.11949158    
        5800 ,  0.366043091     ,   1.15256882    
        5900 ,  0.377849579     ,   1.17268753    
        6000 ,  0.383621216     ,   1.21444702    
        6100 ,  0.410354614     ,   1.27056885    
        6200 ,  0.411323547     ,   1.27588654    
        6300 ,  0.423782349     ,   1.32048798    
        6400 ,  0.438560486     ,   1.31085968    
        6500 ,  0.452651978     ,   1.40607452    
        6600 ,  0.477020264     ,   1.44801331    
        6700 ,  0.490394592     ,   1.50738525    
        6800 ,  0.497299194     ,   1.56519318    
        6900 ,  0.519218445     ,   1.62361145    
        7000 ,  0.535697937     ,   1.68983459    
        7100 ,  0.541038513     ,   1.70622253    
        7200 ,  0.554374695     ,   1.77622223    
        7300 ,  0.583328247     ,   1.88352966    
        7400 ,  0.606452942     ,   1.93496704    
        7500 ,  0.622146606     ,   2.00346375    
        7600 ,  0.624969482     ,   2.03309631    
        7700 ,  0.652938843     ,   2.08187866    
        7800 ,  0.655303955     ,   2.11059570    
        7900 ,  0.672912598     ,   2.21817017    
        8000 ,  0.690322876     ,   2.30593872    
        8100 ,  0.725158691     ,   2.39443970    
        8200 ,  0.726654053     ,   2.42059326    
        8300 ,  0.767120361     ,   2.53388977    
        8400 ,  0.772872925     ,   2.57319641    
        8500 ,  0.794540405     ,   2.58781433    
        8600 ,  0.803237915     ,   2.54716492    
        8700 ,  0.843444824     ,   2.84642029    
        8800 ,   1.44999695     ,   2.80824280    
        8900 ,  0.868423462     ,   2.93569946    
        9000 ,   1.15835571     ,   3.00531006    
        9100 ,  0.940048218     ,   2.96960449    
        9200 ,  0.999420166     ,   3.12792969    
        9300 ,   1.00442505     ,   3.30444336    
        9400 ,   1.02313232     ,   3.28500366    
        9500 ,   1.06652832     ,   3.36880493    
        9600 ,   1.09011841     ,   3.44891357    
        9700 ,   1.07199097     ,   3.44729614    
        9800 ,   1.47146606     ,   4.37622070    
        9900 ,   4.01333618     ,   4.10394287    
       10000 ,   3.14514160     ,   4.43154907    
