 Matrix Size, First Index Sum 1rst, Second Index Sum 1rst
         100 ,   1.14999944E-04 ,   9.80000477E-05
         200 ,   6.02999935E-04 ,   3.14000063E-04
         300 ,   1.05300033E-03 ,   1.00899953E-03
         400 ,   1.93700101E-03 ,   1.92499906E-03
         500 ,   2.94700079E-03 ,   4.04699892E-03
         600 ,   4.15800139E-03 ,   6.76799938E-03
         700 ,   5.62999398E-03 ,   1.07309967E-02
         800 ,   7.23300129E-03 ,   1.46019980E-02
         900 ,   7.22320080E-02 ,   1.91299915E-02
        1000 ,   1.15180016E-02 ,   2.39820480E-02
        1100 ,   3.72140408E-02 ,   2.99859047E-02
        1200 ,   1.58710480E-02 ,   3.64859104E-02
        1300 ,   4.58980799E-02 ,   4.38280106E-02
        1400 ,   2.14538574E-02 ,   5.15290499E-02
        1500 ,   5.11929989E-02 ,   5.92360497E-02
        1600 ,   5.49020767E-02 ,   8.00037384E-02
        1700 ,   6.00228310E-02 ,   9.74919796E-02
        1800 ,   3.79951000E-02 ,  0.106842995    
        1900 ,   7.19239712E-02 ,  0.125240088    
        2000 ,   4.76548672E-02 ,  0.141484737    
        2100 ,   5.22789955E-02 ,  0.160056114    
        2200 ,   8.49790573E-02 ,  0.168618202    
        2300 ,   6.22739792E-02 ,  0.190931797    
        2400 ,   6.68931007E-02 ,  0.207276821    
        2500 ,   7.17520714E-02 ,  0.219109058    
        2600 ,   7.85541534E-02 ,  0.243782997    
        2700 ,  0.112761974     ,  0.264666080    
        2800 ,   9.15927887E-02 ,  0.308874130    
        2900 ,   9.77773666E-02 ,  0.346337318    
        3000 ,  0.114140511     ,  0.367120743    
        3100 ,  0.121845245     ,  0.387965202    
        3200 ,  0.130620003     ,  0.398376465    
        3300 ,  0.141759872     ,  0.444902420    
        3400 ,  0.859164238     ,  0.498054504    
        3500 ,  0.155406952     ,  0.516616821    
        3600 ,  0.168712616     ,  0.540985107    
        3700 ,  0.179359436     ,  0.602306366    
        3800 ,  0.180713654     ,  0.617267609    
        3900 ,  0.401653290     ,  0.677513123    
        4000 ,  0.407646179     ,  0.676282883    
        4100 ,   1.85973549     ,  0.382112503    
        4200 ,  0.191213608     ,  0.597209930    
        4300 ,  0.199548721     ,  0.602724075    
        4400 ,  0.206924438     ,  0.635280609    
        4500 ,  0.216262817     ,  0.659744263    
        4600 ,  0.227985382     ,  0.688858032    
        4700 ,  0.235393524     ,  0.717117310    
        4800 ,  0.245635986     ,  0.757770538    
        4900 ,  0.255786896     ,  0.779624939    
        5000 ,  0.266494751     ,  0.840915680    
        5100 ,  0.288692474     ,  0.962146759    
        5200 ,  0.290344238     ,  0.910274506    
        5300 ,  0.299625397     ,  0.928943634    
        5400 ,  0.310562134     ,  0.970031738    
        5500 ,  0.323894501     ,  0.983093262    
        5600 ,  0.335834503     ,   1.04666519    
        5700 ,  0.345764160     ,   1.07289124    
        5800 ,  0.358085632     ,   1.11289215    
        5900 ,  0.376716614     ,   1.13819885    
        6000 ,  0.383430481     ,   1.15714264    
        6100 ,  0.396324158     ,   1.21552277    
        6200 ,  0.412475586     ,   1.24696350    
        6300 ,  0.423484802     ,   1.29486847    
        6400 ,  0.435600281     ,   1.28039551    
        6500 ,  0.450477600     ,   1.37644958    
        6600 ,  0.464508057     ,   1.39299011    
        6700 ,  0.478607178     ,   1.46551514    
        6800 ,  0.492820740     ,   1.64308929    
        6900 ,  0.509048462     ,   1.57605743    
        7000 ,  0.521720886     ,   1.66940308    
        7100 ,  0.536590576     ,   1.69272614    
        7200 ,  0.553070068     ,   1.75234222    
        7300 ,  0.567230225     ,   1.80268860    
        7400 ,  0.698913574     ,   2.04513550    
        7500 ,  0.817810059     ,   1.94844055    
        7600 ,   1.55015564     ,   2.10824585    
        7700 ,   1.33946228     ,   2.14575195    
        7800 ,   2.73316956     ,   2.18235779    
        7900 ,   1.25680542     ,   2.60826111    
        8000 ,   1.99568176     ,   2.72499084    
        8100 ,   1.24967957     ,   2.78350830    
        8200 ,   3.09411621     ,   2.54527283    
        8300 ,   2.29548645     ,   3.20301819    
        8400 ,   1.81636047     ,   3.59529114    
        8500 ,   3.22196960     ,   3.22834778    
        8600 ,   1.22987366     ,   3.43290710    
        8700 ,   1.44085693     ,   3.61813354    
        8800 ,   2.96076965     ,   3.89878845    
        8900 ,   1.54907227     ,   3.56277466    
        9000 ,   4.72525024     ,   3.40591431    
        9100 ,   2.57046509     ,   3.74319458    
        9200 ,   1.41104126     ,   3.38061523    
        9300 ,   1.39944458     ,   3.92639160    
        9400 ,   2.55664062     ,   4.05685425    
        9500 ,   2.64797974     ,   3.97872925    
        9600 ,   3.44580078     ,   4.57894897    
        9700 ,   4.09921265     ,   4.51379395    
        9800 ,   3.91824341     ,   5.44488525    
        9900 ,   2.43991089     ,   5.09506226    
       10000 ,   4.22470093     ,   5.34454346    
