 Vector Size (Mbytes), My L1 BLAS, NETLIB L1 BLAS
                     8 ,  0.499999999999934      ,  1.367053998632947E-003
                    16 ,   1.00000000000030      ,   1.33333333333354     
                    32 ,   3.99999999999947      ,   7.99999999999200     
                    64 ,   7.99999999999894      ,   7.99999999999894     
                   128 ,   15.9999999999979      ,   15.9999999999979     
                   256 ,   31.9999999999958      ,   64.0000000000470     
                   512 ,   127.999999999872      ,   63.9999999999915     
                  1024 ,   127.999999999983      ,   127.999999999983     
                  2048 ,   255.999999999966      ,   256.000000000188     
                  4096 ,   511.999999999932      ,   511.999999999932     
                  8192 ,   1023.99999999986      ,   1024.00000000075     
                 16384 ,                Infinity ,                Infinity
                 32768 ,                Infinity ,  0.980960364028260     
                 65536 ,                Infinity ,   32.2519685039371     
                131072 ,   1260.30769230761      ,   5.98174516246805     
                262144 ,   780.190476190469      ,   3.39107937493532     
                524288 ,   12.2680643953575      ,  0.530582834751492     
               1048576 ,   3.16901391424185      ,   2.90239149689991     
               2097152 ,   6.87978794598922      ,   5.16499192181897     
               4194304 ,   15.9785444349629      ,   5.36007810782765     
               8388608 ,                Infinity ,                Infinity
              16777216 ,   279620.266677252      ,   42.6948971386111     
              33554432 ,   419430.400015879      ,   3.46333437787326     
              67108864 ,   1048576.00008626      ,   81.5611786038955     
             134217728 ,   1458888.34790385      ,   3.58892886281385     
             268435456 ,   3050402.90891083      ,   8.66301215875822     
             536870912 ,   7064090.94935299      ,   19.0875680829185     
            1073741824 ,   14128181.8987060      ,   14.0972643680938     
            2147483648 ,   25565281.5191548      ,   24.9237940981584     
            4294967296 ,   1579032.09414443      ,   37.5647955763360     
