 Vector Size (Mbytes), My L1 BLAS, NETLIB L1 BLAS
                    8 ,  0.46462216529640848      ,  0.17551970968532896     
                   16 ,   1.5832521596166251      ,   1.5975329350939187     
                   32 ,   3.6626946346871336      ,   3.7009627712193018     
                   64 ,   7.3253892693742673      ,   7.4019255424386037     
                  128 ,   17.479200492432916      ,   18.034241368849234     
                  256 ,   33.579026013193257      ,   36.220570159968375     
                  512 ,   61.016183561376252      ,   71.452536247465545     
                 1024 ,   102.55681632086559      ,   136.46662874221173     
                 2048 ,   152.85856079188099      ,   248.05676881579245     
                 4096 ,   209.93062105508355      ,   422.60464217392143     
                 8192 ,   255.09970772912618      ,   650.06969346005462     
                16384 ,   283.06922257218253      ,   888.31478713472018     
                32768 ,   300.00317265375173      ,   1089.8055471219452     
                65536 ,   309.95623525584506      ,   1229.9002740131784     
               131072 ,   314.83769787955691      ,   1313.4868439478853     
               262144 ,   317.93298835082140      ,   1350.8421399945098     
               524288 ,   316.30453418826232      ,   1380.3882924361533     
              1048576 ,   317.41768941741458      ,   1387.8889230733305     
              2097152 ,   316.85402589333449      ,   1172.4454031239432     
              4194304 ,   318.41229555236583      ,   1381.8859963505934     
