 Vector Size (Mbytes), My L1 BLAS, NETLIB L1 BLAS
                     8 ,  2.000000000000000E-012 ,  7.220216606498196E-004
                    16 ,                Infinity ,   4.00000000000000     
                    32 ,                Infinity ,                Infinity
                    64 ,                Infinity ,   16.0000000000000     
                   128 ,                Infinity ,   32.0000000000000     
                   256 ,                Infinity ,   64.0000000000000     
                   512 ,                Infinity ,                Infinity
                  1024 ,                Infinity ,                Infinity
                  2048 ,                Infinity ,   512.000000000000     
                  4096 ,                Infinity ,                Infinity
                  8192 ,                Infinity ,   2048.00000000000     
                 16384 ,                Infinity ,   2048.00000000000     
                 32768 ,                Infinity ,  0.819609804902451     
                 65536 ,  1.638400000000000E-008 ,   34.3480083857442     
                131072 ,                Infinity ,   61.2485981308411     
                262144 ,                Infinity ,   21.0930157708400     
                524288 ,                Infinity ,   9.35760691083030     
               1048576 ,  2.621440000000000E-007 ,   385.505882352941     
               2097152 ,                Infinity ,   1618.17283950617     
               4194304 ,  1.048576000000000E-006 ,   1212.22658959538     
               8388608 ,                Infinity ,   779.320698625046     
              16777216 ,                Infinity ,   1529.65134938001     
              33554432 ,                Infinity ,   1677.72160000000     
              67108864 ,                Infinity ,   374.299266001829     
             134217728 ,                Infinity ,   3086.88426862925     
             268435456 ,  6.710886400000000E-005 ,   255.733675790821     
             536870912 ,                Infinity ,   158.155513972879     
            1073741824 ,  2.684354560000000E-004 ,   526.499916641986     
            2147483648 ,                Infinity ,   357.644754048453     
            4294967296 ,  1.073741824000000E-003 ,   460.971890267462     
