 Vector Size (Mbytes), My L1 BLAS, NETLIB L1 BLAS
                     8 ,   2.09715200000000      ,  6.031064778201164E-004
                    16 ,                Infinity ,   4.19430400000000     
                    32 ,                Infinity ,   6.71088640000000     
                    64 ,                Infinity ,                Infinity
                   128 ,                Infinity ,   33.5544320000000     
                   256 ,                Infinity ,   53.6870912000000     
                   512 ,                Infinity ,                Infinity
                  1024 ,                Infinity ,                Infinity
                  2048 ,   536.870912000000      ,                Infinity
                  4096 ,                Infinity ,   858.993459200000     
                  8192 ,                Infinity ,   2147.48364800000     
                 16384 ,                Infinity ,   2147.48364800000     
                 32768 ,                Infinity ,  0.777299302506560     
                 65536 ,                Infinity ,   49.9778012625455     
                131072 ,   34359.7383680000      ,   10.8356160100915     
                262144 ,                Infinity ,   16.0907280304396     
                524288 ,                Infinity ,   21.4237876110830     
               1048576 ,                Infinity ,   656.816981945042     
               2097152 ,   549755.813888000      ,   218.895406684452     
               4194304 ,   1099511.62777600      ,   527.976772041296     
               8388608 ,   2199023.25555200      ,   2055.64221131292     
              16777216 ,   4398046.51110400      ,   1750.46627307622     
              33554432 ,   4398046.51110400      ,   1710.55336131227     
              67108864 ,   17592186.0444160      ,   1568.28045860628     
             134217728 ,   35184372.0888320      ,   1350.81620888717     
             268435456 ,   70368744.1776640      ,   1731.25877522177     
             536870912 ,   140737488.355328      ,   1388.84080303675     
