 Vector Size (Mbytes), My L1 BLAS, NETLIB L1 BLAS
                     8 ,                Infinity ,  8.058017727639000E-004
                    16 ,   4.00000000000000      ,   4.00000000000000     
                    32 ,                Infinity ,                Infinity
                    64 ,                Infinity ,                Infinity
                   128 ,                Infinity ,                Infinity
                   256 ,                Infinity ,                Infinity
                   512 ,                Infinity ,                Infinity
                  1024 ,                Infinity ,                Infinity
                  2048 ,                Infinity ,   512.000000000000     
                  4096 ,                Infinity ,                Infinity
                  8192 ,                Infinity ,   2048.00000000000     
                 16384 ,                Infinity ,   2048.00000000000     
                 32768 ,                Infinity ,  0.267607474193127     
                 65536 ,                Infinity ,   28.6935201401051     
                131072 ,                Infinity ,   55.9180887372014     
                262144 ,                Infinity ,   27.0921868540719     
                524288 ,                Infinity ,   6.98454652030267     
               1048576 ,                Infinity ,   27.9322322855621     
               2097152 ,                Infinity ,   90.5662463292451     
               4194304 ,                Infinity ,   124.003784295175     
               8388608 ,                Infinity ,   1772.74049027895     
              16777216 ,                Infinity ,   1624.43996901627     
              33554432 ,                Infinity ,   910.617455492835     
              67108864 ,                Infinity ,   119.625349381096     
             134217728 ,                Infinity ,   2822.07165685450     
             268435456 ,   67108864.0000000      ,   279.730993518268     
             536870912 ,                Infinity ,   373.191920989412     
