 Vector Size (Mbytes), My L1 BLAS, NETLIB L1 BLAS
                    8 ,   10.752688172043010      ,  0.40691759918616477     
                   16 ,   18.867924528301888      ,   16.806722689075631     
                   32 ,   43.010752688172040      ,   55.172413793103459     
                   64 ,   121.21212121212122      ,   115.94202898550725     
                  128 ,   181.81818181818184      ,   258.06451612903226     
                  256 ,   233.57664233576642      ,   463.76811594202900     
                  512 ,   273.50427350427350      ,   727.27272727272737     
                 1024 ,   296.29629629629630      ,   980.84291187739461     
                 2048 ,   308.43373493975901      ,   1142.8571428571429     
                 4096 ,   314.39975437519195      ,   1256.4417177914108     
                 8192 ,   317.61786600496282      ,   1338.5620915032680     
                16384 ,   319.27663886507128      ,   1358.5406301824212     
                32768 ,   319.52570403307590      ,   1388.2392814777156     
                65536 ,   319.26419579874511      ,   1391.8953359952427     
               131072 ,   319.60985125579123      ,   1400.4615779126423     
               262144 ,   320.41459896839172      ,   1395.3329926758645     
               524288 ,   297.62980657877404      ,   1399.7436992738144     
              1048576 ,   304.61210597931870      ,   1392.6569730068586     
              2097152 ,   316.72105557575924      ,   1373.2941478466319     
              4194304 ,   315.91959683325985      ,   1381.8525893526653     
              8388608 ,   316.55224869392043      ,   1378.8335138113339     
             16777216 ,   289.41867082965086      ,   328.15698129977210     
             33554432 ,   283.54255813037719      ,   312.06390760363672     
             67108864 ,   261.97789373515815      ,   302.59046895760616     
            134217728 ,   179.15899321395861      ,   274.52908138527226     
            268435456 ,   191.12665459538016      ,   285.45015068288484     
            536870912 ,   189.68752758506051      ,   257.14972690158163     
