 Vector Size (Mbytes), My L1 BLAS, NETLIB L1 BLAS
                    8 ,   5.7142857142857139E-018 ,  0.18721332958906675     
                   16 ,   4.7619047619047618E-017 ,   35.398230088495573     
                   32 ,   7.0175438596491226E-017 ,   85.106382978723403     
                   64 ,   1.2307692307692308E-016 ,   161.61616161616161     
                  128 ,   1.7877094972067039E-016 ,   275.86206896551721     
                  256 ,   2.3021582733812947E-016 ,   484.84848484848487     
                  512 ,   2.7467811158798282E-016 ,   739.88439306358384     
                 1024 ,   2.9357798165137617E-016 ,   980.84291187739461     
                 2048 ,   3.0640335128665472E-016 ,   1147.9820627802692     
                 4096 ,   3.1430325352977287E-016 ,   1273.6318407960198     
                 8192 ,   3.1781502172563625E-016 ,   1343.8320209973756     
                16384 ,   3.2035038323165966E-016 ,   1375.4197447951647     
                32768 ,   3.1995000781127949E-016 ,   1397.9522184300342     
                65536 ,   3.1960673390164443E-016 ,   1392.2501699524132     
               131072 ,   3.0685383052244187E-016 ,   1389.8290707045001     
               262144 ,   3.2048354206297588E-016 ,   1397.7733225269803     
               524288 ,   3.2055565066399277E-016 ,   1266.3349596637843     
              1048576 ,   3.1997968878928585E-016 ,   1361.0446250097350     
              2097152 ,   3.1675186276470354E-016 ,   1373.4524402064287     
              4194304 ,   3.1751803377771534E-016 ,   1393.4212956749266     
              8388608 ,   3.1286417054859153E-016 ,   1391.0441029178633     
             16777216 ,   2.6291239433649770E-016 ,   337.20111044803093     
             33554432 ,   2.6808098002637855E-016 ,   324.37895001256550     
             67108864 ,   2.9455755004029772E-016 ,   336.81790935155647     
            134217728 ,   2.5002372489989043E-016 ,   318.92618326397042     
            268435456 ,   2.3820772723523254E-016 ,   304.50238191503109     
            536870912 ,   1.3499682396541521E-016 ,   294.57145957102665     
           1073741824 ,   2.2224197537508786E-016 ,   289.62923859548607     
           2147483648 ,   1.2605941476380144E-016 ,   201.86396629290567     
           4294967296 ,   1.5045645416771384E-016 ,   256.04658806661342     
