 Vector Size (Mbytes), My L1 BLAS, NETLIB L1 BLAS
                    8 ,   8.1967213114754092      ,  0.39729837107667859     
                   16 ,   23.391812865497077      ,   15.624999999999998     
                   32 ,   36.363636363636360      ,   55.172413793103459     
                   64 ,   131.14754098360655      ,   107.38255033557047     
                  128 ,   187.13450292397661      ,   262.29508196721309     
                  256 ,   222.22222222222223      ,   410.25641025641028     
                  512 ,   275.86206896551721      ,   739.88439306358384     
                 1024 ,   297.32868757259001      ,   966.03773584905662     
                 2048 ,   308.43373493975901      ,   1150.5617977528091     
                 4096 ,   314.20681190549249      ,   1268.8971499380423     
                 8192 ,   318.85411801338932      ,   1339.4375408763897     
                16384 ,   318.53176763356407      ,   1373.5747820254862     
                32768 ,   319.96250439401632      ,   1394.6203609124959     
                65536 ,   318.97827272019316      ,   1401.3000342114267     
               131072 ,   318.96274809457526      ,   1400.5812959480252     
               262144 ,   320.23924123002047      ,   1392.2501699524132     
               524288 ,   320.65759859086018      ,   1402.7847640656271     
              1048576 ,   320.03047165135354      ,   1358.4420699161547     
              2097152 ,   317.36542532359243      ,   1353.3016359759843     
              4194304 ,   317.09583644181657      ,   1381.1372844475588     
              8388608 ,   312.72029189883511      ,   1369.7395070993346     
             16777216 ,   176.43784104531801      ,   265.20910449853471     
             33554432 ,   131.08862162757043      ,   241.22184906668460     
             67108864 ,   180.77209605224340      ,   268.45701846772329     
            134217728 ,   206.23727644127723      ,   285.01771845548785     
            268435456 ,   227.79425088969316      ,   299.90105555518215     
            536870912 ,   233.70370594150455      ,   291.25272578279606     
