 Vector Size (Mbytes), My L3 BLAS, NETLIB L3 BLAS
                    8 ,   3.9138943248532292      ,  0.13314692763464481     
                   32 ,   58.608058608058599      ,   38.929440389294399     
                  128 ,   120.86874409820587      ,   266.11226611226607     
                  512 ,   160.32566149992172      ,   765.32137518684601     
                 2048 ,   166.03834772386395      ,   1142.6977263216627     
                 8192 ,   166.92689561720110      ,   1107.5321514880097     
                32768 ,   164.11463558548760      ,   1322.1699921318618     
               131072 ,   159.60301987819224      ,   1288.9496405707600     
               524288 ,   115.71645530953811      ,   1328.4572919188124     
              2097152 ,   111.38478790392313      ,   1350.3774334609170     
              8388608 ,   116.91062619562815      ,   1343.7546447099996     
             33554432 ,   119.60411175655605      ,   758.89115271652213     
            134217728 ,                           ,   569.16619890520019     
