 Vector Size (Mbytes), My L3 BLAS, NETLIB L3 BLAS
                     8 ,  0.500000000000000      ,  0.125000000000000     
                    32 ,   16.0000000000000      ,                Infinity
                   128 ,   128.000000000000      ,                Infinity
                   512 ,   1024.00000000000      ,   512.000000000000     
                  2048 ,   1365.33333333333      ,   1170.28571428571     
                  8192 ,   1524.09302325581      ,   1236.52830188679     
                 32768 ,   1285.01960784314      ,   1288.17690417690     
                131072 ,   782.665422653480      ,   1276.41631162508     
                524288 ,   598.555664567688      ,   1277.29090216978     
               2097152 ,   575.894687837226      ,   1340.54851355603     
               8388608 ,   615.983523928740      ,   1363.33798977378     
              33554432 ,   187.480651549333      ,   750.935296771627     
             134217728 ,  0.000000000000000E+000 ,   635.514687548008     
