 vector size (bytes) ,time (s)
           1 ,  8.940696716308593750000000000000000E-0007
         101 ,  1.189947128295898437500000000000000E-0006
         201 ,  1.389026641845703125000000000000000E-0006
         301 ,  1.478910446166992187500000000000000E-0006
         401 ,  1.749038696289062500000000000000000E-0006
         501 ,  2.007961273193359375000000000000000E-0006
         601 ,  2.125978469848632812500000000000000E-0006
         701 ,  2.315998077392578125000000000000000E-0006
         801 ,  2.502918243408203125000000000000000E-0006
         901 ,  2.733945846557617187500000000000000E-0006
        1001 ,  2.945899963378906250000000000000000E-0006
        1101 ,  3.119945526123046875000000000000000E-0006
        1201 ,  3.281831741333007812500000000000000E-0006
        1301 ,  3.339052200317382812500000000000000E-0006
        1401 ,  3.435134887695312500000000000000000E-0006
        1501 ,  3.643989562988281250000000000000000E-0006
        1601 ,  3.830909729003906250000000000000000E-0006
        1701 ,  3.994941711425781250000000000000000E-0006
        1801 ,  4.190921783447265625000000000000000E-0006
        1901 ,  4.131793975830078125000000000000000E-0006
        2001 ,  4.390954971313476562500000000000000E-0006
        2101 ,  4.483938217163085937500000000000000E-0006
        2201 ,  4.642963409423828125000000000000000E-0006
        2301 ,  4.689931869506835937500000000000000E-0006
        2401 ,  4.692077636718750000000000000000000E-0006
        2501 ,  4.917144775390625000000000000000000E-0006
        2601 ,  5.141019821166992187500000000000000E-0006
        2701 ,  5.039215087890625000000000000000000E-0006
        2801 ,  5.100011825561523437500000000000000E-0006
        2901 ,  5.357980728149414062500000000000000E-0006
        3001 ,  5.432128906250000000000000000000000E-0006
        3101 ,  5.594015121459960937500000000000000E-0006
        3201 ,  5.929946899414062500000000000000000E-0006
        3301 ,  5.976915359497070312500000000000000E-0006
        3401 ,  6.172895431518554687500000000000000E-0006
        3501 ,  6.435871124267578125000000000000000E-0006
        3601 ,  6.558895111083984375000000000000000E-0006
        3701 ,  6.880998611450195312500000000000000E-0006
        3801 ,  6.937980651855468750000000000000000E-0006
        3901 ,  7.133007049560546875000000000000000E-0006
        4001 ,  7.299900054931640625000000000000000E-0006
