 vector size (bytes) ,time (s)
           1 ,  1.821994781494140625000000000000000E-0006
         101 ,  2.423048019409179687500000000000000E-0006
         201 ,  2.890110015869140625000000000000000E-0006
         301 ,  2.913951873779296875000000000000000E-0006
         401 ,  3.165006637573242187500000000000000E-0006
         501 ,  3.374814987182617187500000000000000E-0006
         601 ,  3.785848617553710937500000000000000E-0006
         701 ,  3.950119018554687500000000000000000E-0006
         801 ,  4.299163818359375000000000000000000E-0006
         901 ,  4.599809646606445312500000000000000E-0006
        1001 ,  5.011081695556640625000000000000000E-0006
        1101 ,  5.275011062622070312500000000000000E-0006
        1201 ,  5.791902542114257812500000000000000E-0006
        1301 ,  5.851984024047851562500000000000000E-0006
        1401 ,  6.162881851196289062500000000000000E-0006
        1501 ,  6.515979766845703125000000000000000E-0006
        1601 ,  6.735086441040039062500000000000000E-0006
        1701 ,  6.990909576416015625000000000000000E-0006
        1801 ,  7.655143737792968750000000000000000E-0006
        1901 ,  7.311105728149414062500000000000000E-0006
        2001 ,  7.735967636108398437500000000000000E-0006
        2101 ,  7.980823516845703125000000000000000E-0006
        2201 ,  8.752107620239257812500000000000000E-0006
        2301 ,  8.878946304321289062500000000000000E-0006
        2401 ,  9.228944778442382812500000000000000E-0006
        2501 ,  9.602785110473632812499999999999999E-0006
        2601 ,  1.004314422607421875000000000000000E-0005
        2701 ,  9.918212890625000000000000000000000E-0006
        2801 ,  1.022100448608398437500000000000000E-0005
        2901 ,  1.017498970031738281250000000000000E-0005
        3001 ,  1.065015792846679687500000000000000E-0005
        3101 ,  1.130700111389160156250000000000000E-0005
        3201 ,  1.170992851257324218750000000000000E-0005
        3301 ,  1.217103004455566406250000000000000E-0005
        3401 ,  1.200509071350097656250000000000000E-0005
        3501 ,  1.208901405334472656250000000000000E-0005
        3601 ,  1.267910003662109375000000000000000E-0005
        3701 ,  1.307892799377441406250000000000000E-0005
        3801 ,  1.347494125366210937500000000000000E-0005
        3901 ,  1.374101638793945312500000000000000E-0005
        4001 ,  1.513719558715820312500000000000000E-0005
        4101 ,  1.556491851806640625000000000000000E-0005
        4201 ,  1.612401008605957031250000000000000E-0005
        4301 ,  1.636695861816406250000000000000000E-0005
        4401 ,  1.721596717834472656250000000000000E-0005
        4501 ,  1.744389533996582031250000000000000E-0005
        4601 ,  1.748585700988769531250000000000000E-0005
        4701 ,  1.760697364807128906250000000000000E-0005
        4801 ,  1.847600936889648437500000000000000E-0005
        4901 ,  1.911997795104980468750000000000000E-0005
        5001 ,  1.955795288085937500000000000000000E-0005
        5101 ,  1.903581619262695312500000000000000E-0005
        5201 ,  1.943898200988769531250000000000000E-0005
        5301 ,  2.005696296691894531250000000000000E-0005
        5401 ,  2.034592628479003906250000000000000E-0005
        5501 ,  2.084803581237792968750000000000000E-0005
        5601 ,  1.996803283691406250000000000000000E-0005
        5701 ,  2.151298522949218750000000000000000E-0005
        5801 ,  2.155900001525878906250000000000000E-0005
        5901 ,  2.209997177124023437500000000000000E-0005
        6001 ,  2.143907546997070312500000000000000E-0005
        6101 ,  2.262687683105468750000000000000000E-0005
        6201 ,  2.294588088989257812500000000000000E-0005
        6301 ,  2.372908592224121093750000000000000E-0005
        6401 ,  2.297806739807128906250000000000000E-0005
        6501 ,  2.414202690124511718750000000000000E-0005
        6601 ,  2.459406852722167968750000000000000E-0005
        6701 ,  2.463603019714355468750000000000000E-0005
        6801 ,  2.448797225952148437500000000000000E-0005
        6901 ,  2.565217018127441406250000000000000E-0005
        7001 ,  2.571821212768554687500000000000000E-0005
        7101 ,  2.539086341857910156250000000000000E-0005
        7201 ,  2.656412124633789062500000000000000E-0005
        7301 ,  2.721405029296875000000000000000000E-0005
        7401 ,  2.582812309265136718750000000000000E-0005
        7501 ,  2.759289741516113281250000000000000E-0005
        7601 ,  2.842998504638671875000000000000000E-0005
        7701 ,  2.751898765563964843750000000000000E-0005
        7801 ,  2.781891822814941406250000000000000E-0005
        7901 ,  2.900218963623046875000000000000000E-0005
        8001 ,  2.850103378295898437500000000000000E-0005
        8101 ,  2.891683578491210937500000000000000E-0005
        8201 ,  2.992987632751464843750000000000000E-0005
        8301 ,  2.947998046875000000000000000000000E-0005
        8401 ,  3.012704849243164062500000000000000E-0005
        8501 ,  3.059482574462890625000000000000000E-0005
        8601 ,  3.083086013793945312500000000000000E-0005
        8701 ,  3.090095520019531250000000000000000E-0005
        8801 ,  3.234291076660156250000000000000000E-0005
        8901 ,  3.163099288940429687500000000000000E-0005
        9001 ,  3.206896781921386718750000000000000E-0005
        9101 ,  3.194713592529296875000000000000000E-0005
        9201 ,  3.312683105468750000000000000000000E-0005
        9301 ,  3.277206420898437500000000000000000E-0005
        9401 ,  3.410196304321289062500000000000000E-0005
        9501 ,  3.334498405456542968750000000000000E-0005
        9601 ,  3.443598747253417968750000000000000E-0005
        9701 ,  3.483200073242187500000000000000000E-0005
        9801 ,  3.405189514160156250000000000000000E-0005
        9901 ,  3.543114662170410156250000000000000E-0005
       10001 ,  3.886222839355468750000000000000000E-0005
       10101 ,  3.814697265625000000000000000000000E-0005
       10201 ,  6.890296936035156250000000000000000E-0005
       10301 ,  4.410743713378906250000000000000000E-0005
       10401 ,  3.814697265625000000000000000000000E-0005
       10501 ,  3.790855407714843750000000000000000E-0005
       10601 ,  3.910064697265625000000000000000000E-0005
       10701 ,  4.005432128906250000000000000000000E-0005
       10801 ,  4.005432128906250000000000000000000E-0005
       10901 ,  4.005432128906250000000000000000000E-0005
       11001 ,  4.100799560546875000000000000000000E-0005
       11101 ,  4.196166992187500000000000000000000E-0005
       11201 ,  5.078315734863281250000000000000000E-0005
       11301 ,  5.102157592773437500000000000000000E-0005
       11401 ,  4.410743713378906250000000000000000E-0005
       11501 ,  4.291534423828125000000000000000000E-0005
       11601 ,  4.506111145019531250000000000000000E-0005
       11701 ,  4.386901855468750000000000000000000E-0005
       11801 ,  4.386901855468750000000000000000000E-0005
       11901 ,  4.601478576660156250000000000000000E-0005
       12001 ,  4.601478576660156250000000000000000E-0005
       12101 ,  5.006790161132812500000000000000000E-0005
       12201 ,  4.696846008300781250000000000000000E-0005
       12301 ,  6.198883056640625000000000000000000E-0005
       12401 ,  4.696846008300781250000000000000000E-0005
       12501 ,  4.911422729492187500000000000000000E-0005
       12601 ,  4.696846008300781250000000000000000E-0005
       12701 ,  4.696846008300781250000000000000000E-0005
       12801 ,  4.696846008300781250000000000000000E-0005
       12901 ,  5.006790161132812500000000000000000E-0005
       13001 ,  5.102157592773437500000000000000000E-0005
       13101 ,  5.006790161132812500000000000000000E-0005
       13201 ,  5.197525024414062500000000000000000E-0005
       13301 ,  7.510185241699218750000000000000000E-0005
       13401 ,  5.197525024414062500000000000000000E-0005
       13501 ,  5.197525024414062500000000000000000E-0005
       13601 ,  5.888938903808593750000000000000000E-0005
       13701 ,  5.316734313964843750000000000000000E-0005
       13801 ,  5.316734313964843750000000000000000E-0005
       13901 ,  5.292892456054687500000000000000000E-0005
       14001 ,  5.602836608886718750000000000000000E-0005
       14101 ,  5.316734313964843750000000000000000E-0005
       14201 ,  5.602836608886718750000000000000000E-0005
       14301 ,  7.390975952148437500000000000000000E-0005
       14401 ,  5.698204040527343750000000000000000E-0005
       14501 ,  5.602836608886718750000000000000000E-0005
       14601 ,  5.793571472167968750000000000000000E-0005
       14701 ,  5.888938903808593750000000000000000E-0005
       14801 ,  5.793571472167968750000000000000000E-0005
       14901 ,  6.604194641113281250000000000000000E-0005
       15001 ,  6.103515625000000000000000000000000E-0005
       15101 ,  5.984306335449218750000000000000000E-0005
       15201 ,  6.079673767089843750000000000000000E-0005
       15301 ,  6.794929504394531250000000000000000E-0005
       15401 ,  7.104873657226562500000000000000000E-0005
       15501 ,  6.294250488281250000000000000000000E-0005
       15601 ,  6.294250488281250000000000000000000E-0005
       15701 ,  6.103515625000000000000000000000000E-0005
       15801 ,  6.413459777832031250000000000000000E-0005
       15901 ,  5.698204040527343750000000000000000E-0005
       16001 ,  5.698204040527343750000000000000000E-0005
       16101 ,  6.079673767089843750000000000000000E-0005
       16201 ,  6.508827209472656250000000000000000E-0005
       16301 ,  6.103515625000000000000000000000000E-0005
       16401 ,  1.308917999267578125000000000000000E-0004
       16501 ,  7.605552673339843750000000000000000E-0005
       16601 ,  6.794929504394531250000000000000000E-0005
       16701 ,  6.890296936035156250000000000000000E-0005
       16801 ,  6.794929504394531250000000000000000E-0005
       16901 ,  6.508827209472656250000000000000000E-0005
