 vector size (bytes) ,time (s)
           1 ,  8.201599121093750E-007
         101 ,  1.157999038696289E-006
         201 ,  1.257181167602539E-006
         301 ,  1.420974731445312E-006
         401 ,  1.490116119384766E-006
         501 ,  1.718997955322266E-006
         601 ,  1.894950866699219E-006
         701 ,  2.094030380249023E-006
         801 ,  2.050876617431641E-006
         901 ,  2.295970916748047E-006
        1001 ,  2.444028854370117E-006
        1101 ,  2.522945404052735E-006
        1201 ,  2.754211425781250E-006
        1301 ,  3.002882003784180E-006
        1401 ,  3.130197525024414E-006
        1501 ,  3.468036651611328E-006
        1601 ,  3.404855728149414E-006
        1701 ,  3.617048263549805E-006
        1801 ,  3.786087036132813E-006
        1901 ,  3.902196884155274E-006
        2001 ,  4.128932952880860E-006
        2101 ,  4.308938980102539E-006
        2201 ,  4.343032836914063E-006
        2301 ,  4.651069641113281E-006
        2401 ,  4.738092422485352E-006
        2501 ,  4.992008209228515E-006
        2601 ,  5.146980285644531E-006
        2701 ,  5.175828933715820E-006
        2801 ,  5.450963973999023E-006
        2901 ,  5.604982376098633E-006
        3001 ,  5.713939666748047E-006
        3101 ,  6.093025207519531E-006
        3201 ,  6.075859069824219E-006
        3301 ,  6.277084350585937E-006
        3401 ,  6.369113922119140E-006
        3501 ,  6.872177124023438E-006
        3601 ,  6.937026977539063E-006
        3701 ,  7.102012634277344E-006
        3801 ,  7.416009902954102E-006
        3901 ,  7.431030273437500E-006
        4001 ,  7.586956024169922E-006
        4101 ,  7.696151733398438E-006
        4201 ,  7.858991622924805E-006
        4301 ,  8.023023605346680E-006
        4401 ,  8.222103118896484E-006
        4501 ,  8.229970932006836E-006
        4601 ,  8.222103118896484E-006
        4701 ,  8.291959762573243E-006
        4801 ,  8.690834045410156E-006
        4901 ,  9.036064147949218E-006
        5001 ,  9.047985076904298E-006
        5101 ,  9.128808975219727E-006
        5201 ,  9.376049041748047E-006
        5301 ,  9.366989135742187E-006
        5401 ,  9.431123733520508E-006
        5501 ,  9.712934494018554E-006
        5601 ,  9.911060333251953E-006
        5701 ,  9.807109832763672E-006
        5801 ,  1.001787185668945E-005
        5901 ,  1.016592979431152E-005
        6001 ,  1.046800613403320E-005
        6101 ,  1.060009002685547E-005
        6201 ,  1.049685478210449E-005
        6301 ,  1.079201698303223E-005
        6401 ,  1.100707054138184E-005
        6501 ,  1.112604141235351E-005
        6601 ,  1.125407218933106E-005
        6701 ,  1.124286651611328E-005
        6801 ,  1.180696487426758E-005
        6901 ,  1.182317733764649E-005
        7001 ,  1.200604438781738E-005
        7101 ,  1.197600364685059E-005
        7201 ,  1.242089271545410E-005
        7301 ,  1.233291625976563E-005
        7401 ,  1.275801658630371E-005
        7501 ,  1.253604888916016E-005
        7601 ,  1.309895515441895E-005
        7701 ,  1.313185691833496E-005
        7801 ,  1.308107376098633E-005
